Method,Paradigm,N_Features,Acc_Clean,Acc_Clean_std,Acc_N010,Acc_N010_std,Acc_N020,Acc_N020_std,Redundancy,Features
QFS-4 (Ours),Quantum VQC Wrapper,4,1.0,0.0,0.5797369245223927,0.025215317364540264,0.4641758012318614,0.009683606977214687,0.5960693058673282,"σ_ExG, RBR, B, Correlation"
MI-4,Classical Filter,4,1.0,0.0,0.5319574068274351,0.021650987170541192,0.45062323833385526,0.009728329545059079,0.798160746891717,"σ_ExG, ExG, RBR, B"
RF-4,Classical Filter,4,1.0,0.0,0.5319532310262032,0.020047995620827826,0.44997390124230086,0.009758647352829409,0.7981607468917168,"ExG, σ_ExG, RBR, B"
SFS-4,Classical Wrapper,4,1.0,0.0,0.47708529074016076,0.006474683833881678,0.4460945818979017,0.002405734503028461,0.5325397136939712,"ExG, σ_ExG, RBR, NGRDI"
PCA-4,Unsupervised,4,1.0,0.0,0.5616515293872011,0.004359262490494789,0.5622966906775237,0.002777595328418924,0.2597797811374984,"Energy, ExG, R, Correlation"
All-12,No Selection,12,1.0,0.0,0.43899363190312146,0.0005679089675331373,0.43899363190312146,0.0005679089675331373,0.3994844445042735,"ExG, σ_ExG, RBR, NGRDI, R, G, B, Entropy, Contrast, Homogeneity, Energy, Correlation"
