Filename,Folder,Label,Mean_ExG,Std_ExG,Mean_RBR,Mean_NGRDI,Mean_R,Mean_G,Mean_B,Entropy,Contrast,Homogeneity,Energy,Correlation
DJI_20250929124913_0251_D.JPG,post_def_rgb_part1,Post_Defoliation,0.015350771927026165,0.04575795595801622,4.0465390265151635,-0.01910380995309486,0.41764741985819065,0.4089575147628068,0.38491683774039687,7.415346205593842,2968.43107007007,0.03989258949856145,0.00855845005755762,0.5396846129325568
DJI_20250929124441_0115_D.JPG,post_def_rgb_part1,Post_Defoliation,0.013837541236429,0.05157728810435096,614.8348950483916,-0.057949239203352605,0.4114138177408415,0.3827486560048231,0.34024595303237576,7.751181813752211,3886.9034584584588,0.03072548202867558,0.006006480420035139,0.4927736618682826
DJI_20250929124741_0205_D.JPG,post_def_rgb_part1,Post_Defoliation,0.018879088759780036,0.047487843066746124,2.3624319342978004,-0.015650948950705963,0.4441584552402632,0.43662192596728,0.41020630793451673,7.439331459779369,2999.155932932933,0.03705327278816561,0.008076435283277087,0.5058498115175941
DJI_20250929124355_0092_D.JPG,post_def_rgb_part1,Post_Defoliation,0.017875197996439746,0.04666647689495912,437.1550609012879,-0.0446820273589303,0.38473605493764745,0.3648650915041691,0.3271189300742511,7.705023570680879,3837.9572322322324,0.032207058168991005,0.006355727704522388,0.49370170102353245
DJI_20250929124919_0254_D.JPG,post_def_rgb_part1,Post_Defoliation,0.018362361233521196,0.04842083396002543,3.7914269263567992,-0.017541507930438308,0.41871886521943397,0.4112210753598557,0.38536092426675606,7.4186195447193715,2959.445203203203,0.03955537327828772,0.00848963799774243,0.5411679898448581
DJI_20250929124942_0265_D.JPG,post_def_rgb_part1,Post_Defoliation,0.019286354256596774,0.04776205846948285,13.281832849884507,-0.01666054572222167,0.411596916384748,0.40505851502595086,0.3792337594105571,7.531568873138031,3033.667500500501,0.0380886083441325,0.007784929907339612,0.5527207257798149
DJI_20250929124557_0153_D.JPG,post_def_rgb_part1,Post_Defoliation,0.017286028480546858,0.04424660362928627,5.380437875033098,-0.01528838356620596,0.4127816213043419,0.4068139023464887,0.3835601549080888,7.439528698219676,3121.8787597597598,0.03940374065721996,0.008462977185583366,0.5433955885929134
DJI_20250929124549_0149_D.JPG,post_def_rgb_part1,Post_Defoliation,0.01804525771303711,0.045222037547279124,5.625018513129282,-0.014952964619550852,0.4156852137475391,0.41012482411998413,0.38651917677939207,7.466120972503583,3174.4151741741744,0.03913537078730568,0.008297130220589824,0.5472481831635503
DJI_20250929124443_0116_D.JPG,post_def_rgb_part1,Post_Defoliation,0.01145063050958043,0.048648222810676336,552.9013119353092,-0.06027578826887981,0.3828867135564892,0.35493508810822794,0.3155328321503863,7.675393249799785,3645.6402842842845,0.03242573921124834,0.006471416853591631,0.4917160685212407
DJI_20250929124743_0206_D.JPG,post_def_rgb_part1,Post_Defoliation,0.01882395578187153,0.047511203458171815,2.6456795968814433,-0.01426211770381488,0.43695197773398053,0.4308320147964508,0.4058880960770496,7.423276774095857,3005.0114864864863,0.037665705942216715,0.008243694441060823,0.5060714846073379
DJI_20250929124301_0065_D.JPG,post_def_rgb_part1,Post_Defoliation,0.012835447948827476,0.04934316991673938,352.4005962005571,-0.0563911422307028,0.42137907449111944,0.3904547388324451,0.3466949552249432,7.733367399239487,3780.5105995995996,0.030143761285697887,0.005988610652868137,0.4713118975580989
