Filename,Folder,Label,Mean_ExG,Std_ExG,Mean_RBR,Log_RBR,ExG_pos_frac,Mean_NGRDI,Mean_R,Mean_G,Mean_B,Entropy,Contrast,Homogeneity,Energy,Correlation,Cotton_Boll_Count
DJI_20250929122125_0225_D.JPG,part3_post_def_rgb,Post_Defoliation,0.013866136781871319,0.05284828320145607,493.57037353515625,6.2036895751953125,0.5390507227226767,-0.05648889020085335,0.3960009813308716,0.3684505224227905,0.3270338773727417,7.705121312773792,5605.566704378669,0.023514351802108747,0.005803314589884778,0.227954736843073,2984.0
DJI_20250929122127_0226_D.JPG,part3_post_def_rgb,Post_Defoliation,0.013512363657355309,0.047984324395656586,449.3013916015625,6.109917163848877,0.5523921756748476,-0.0539059191942215,0.36474767327308655,0.34094902873039246,0.3036380410194397,7.632328143320776,5165.73327421722,0.024846909126248845,0.006244117969364015,0.22453501572204104,3089.0
DJI_20250929122129_0227_D.JPG,part3_post_def_rgb,Post_Defoliation,0.012046942487359047,0.049363862723112106,399.83306884765625,5.993545055389404,0.5317973561448662,-0.053123876452445984,0.38598477840423584,0.3613938093185425,0.32475584745407104,7.689245897539567,5520.276464652641,0.023884782052323732,0.005914837417046831,0.22966971553594864,3044.0
DJI_20250929122131_0228_D.JPG,part3_post_def_rgb,Post_Defoliation,0.013000686652958393,0.0470295213162899,388.98919677734375,5.966118812561035,0.5534499283788339,-0.05074166879057884,0.3683132231235504,0.3459186851978302,0.31052345037460327,7.644932687992887,5263.408489787183,0.02467148352298152,0.006177491316893553,0.22919034762264465,3042.0
DJI_20250929122133_0229_D.JPG,part3_post_def_rgb,Post_Defoliation,0.01110855583101511,0.04963301122188568,412.50762939453125,6.0246758460998535,0.5227525986610289,-0.05527747794985771,0.3954508602619171,0.3690031170845032,0.3314467966556549,7.707496170253622,5647.87315771771,0.023491022135533078,0.005805404865693412,0.23232854805015854,2787.0
DJI_20250929122135_0230_D.JPG,part3_post_def_rgb,Post_Defoliation,0.0150326918810606,0.050685781985521317,389.15582275390625,5.966546058654785,0.5642162748567576,-0.04617925360798836,0.4079483151435852,0.38537654280662537,0.34777212142944336,7.752847608927368,5845.221238227739,0.022856589761787487,0.005552202386689251,0.23515093962344352,2784.0
DJI_20250929122137_0231_D.JPG,part3_post_def_rgb,Post_Defoliation,0.015775419771671295,0.048733603209257126,375.2731628417969,5.9303154945373535,0.58193887497319,-0.04391045495867729,0.3852695822715759,0.3653627038002014,0.3296804130077362,7.701654620822333,5623.762704867906,0.02379821311609135,0.005859755832575322,0.23832869218983202,3066.0
DJI_20250929122139_0232_D.JPG,part3_post_def_rgb,Post_Defoliation,0.01656663790345192,0.05159550905227661,421.3182373046875,6.045759201049805,0.5791629802831143,-0.04470730572938919,0.40273812413215637,0.38131868839263916,0.3433326184749603,7.745510504945658,5828.157052654109,0.02305077997404239,0.005598763484835734,0.2376732920580514,2937.0
DJI_20250929122141_0233_D.JPG,part3_post_def_rgb,Post_Defoliation,0.01739288493990898,0.04927456006407738,406.067138671875,6.008978366851807,0.5990394337714864,-0.041932541877031326,0.38222163915634155,0.36340078711509705,0.32718706130981445,7.698206454038255,5625.639501284246,0.023837640699260327,0.005883444703485315,0.23477194726061534,2893.0
DJI_20250929122143_0234_D.JPG,part3_post_def_rgb,Post_Defoliation,0.016916761174798012,0.050399914383888245,396.276611328125,5.984632968902588,0.588838300854858,-0.04073920100927353,0.39858126640319824,0.37936219573020935,0.3432263433933258,7.738504082985824,5784.529067545254,0.022817271157051445,0.00564106632305765,0.23793986434895897,2932.0
DJI_20250929122145_0235_D.JPG,part3_post_def_rgb,Post_Defoliation,0.014800282195210457,0.04719073697924614,331.4249572753906,5.8064141273498535,0.5757831410668873,-0.04095769301056862,0.37819045782089233,0.35970768332481384,0.32642462849617004,7.681306534780577,5523.517111821184,0.024055459645223452,0.005981284261535859,0.23800899876605022,2731.0
DJI_20250929122147_0236_D.JPG,part3_post_def_rgb,Post_Defoliation,0.017537204548716545,0.05057145282626152,411.59075927734375,6.022456169128418,0.5937146681680302,-0.039345916360616684,0.4051463007926941,0.3856891393661499,0.3486948311328888,7.7517744695485025,5845.341177684686,0.02298601351915787,0.005580512252430072,0.24150989933855874,2745.0
DJI_20250929122149_0237_D.JPG,part3_post_def_rgb,Post_Defoliation,0.017254438251256943,0.04750652611255646,355.7345275878906,5.8769917488098145,0.6035239433005485,-0.03725753724575043,0.38127294182777405,0.3646262288093567,0.3307251036167145,7.702203110425766,5597.752117477984,0.024145854497917823,0.005878386405247666,0.24009373929322284,2771.0
DJI_20250929122151_0238_D.JPG,part3_post_def_rgb,Post_Defoliation,0.01717301271855831,0.050413332879543304,446.80194091796875,6.104351043701172,0.5894588580445507,-0.04084713011980057,0.4046831429004669,0.3851330876350403,0.3484100103378296,7.7628874670007155,5879.27690037916,0.022886085278049844,0.005527015374514062,0.24240337771670292,2315.0
DJI_20250929122153_0239_D.JPG,part3_post_def_rgb,Post_Defoliation,0.016537483781576157,0.047881830483675,383.8431091308594,5.952835559844971,0.5935840648650305,-0.040813758969306946,0.38345885276794434,0.3648079037666321,0.3296194076538086,7.708353350181466,5625.377763423434,0.02425116952306661,0.005861302593629615,0.24373430049766762,2638.0
DJI_20250929122155_0240_D.JPG,part3_post_def_rgb,Post_Defoliation,0.016871942207217216,0.05123613029718399,421.96014404296875,6.047277927398682,0.5829553593314336,-0.04019325226545334,0.410327672958374,0.3908449411392212,0.3544902205467224,7.7804171245372595,5952.5081259173185,0.0225459279920101,0.005443183367225054,0.24900675402855188,2565.0
DJI_20250929122157_0241_D.JPG,part3_post_def_rgb,Post_Defoliation,0.018221540376544,0.04838085547089577,375.5265197753906,5.930988311767578,0.6136480930385758,-0.0375138521194458,0.3836594521999359,0.3667401373386383,0.33159929513931274,7.714577931283353,5676.457665728962,0.024414126027321636,0.00583721541767615,0.24404107782662315,2892.0
DJI_20250929122159_0242_D.JPG,part3_post_def_rgb,Post_Defoliation,0.016269246116280556,0.05102250725030899,391.011474609375,5.9712910652160645,0.5775677815822533,-0.04141520708799362,0.4084515869617462,0.3882006108760834,0.35168036818504333,7.767023942636801,5912.318986209638,0.022965074452456033,0.005519377238441211,0.24787746859741686,2617.0
