Method,k,Clean,Fog,Glare,Shadow
QFS_k2,2,1.0,0.8117647058823529,0.3352941176470588,1.0
MI_k2,2,1.0,0.7823529411764706,0.15588235294117647,1.0
QFS_k4,4,1.0,0.8852941176470588,0.43823529411764706,0.5852941176470589
MI_k4,4,1.0,0.9411764705882353,0.3058823529411765,0.9970588235294118
QFS_k6,6,1.0,0.9323529411764706,0.1588235294117647,0.5852941176470589
MI_k6,6,1.0,0.9235294117647059,0.16470588235294117,0.5852941176470589
